StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ec_1_1,ec_1_2,ec_1_3,ec_1_4,ec_1_5,ec_1_6,ec_2,Q42,Q44,age,gender,gender_4_TEXT,race,end,PROLIFIC_PID,STUDY_ID,SESSION_ID,stim_pair_id,stim_category,stim_truth,stim_truth_gender,A_id,A_gender,A_GK,A_Word,B_id,B_gender,B_GK,B_Word,slider_value,slider_side,rts_ms,endorser_id,endorser_gender,stage3_q1_pair_id,stage3_q1_category,stage3_q1_truth,stage3_q1_selected_label,stage3_q1_selected_id,endorser_slider_value_q1,stake_percent_q1,rt_ms_stage3_q1,stage3_q2_pair_id,stage3_q2_category,stage3_q2_truth,stage3_q2_selected_label,stage3_q2_selected_id,endorser_slider_value_q2,stake_percent_q2,rt_ms_stage3_q2,stage3_q1_is_correct,stage3_q1_actual_bonus,rt_ms_stage3_outcome,assigned_condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please respond truthfully to the items below. - Have you ever been stung by an bee?,Please respond truthfully to the items below. - Have you ever been to Thailand?,Please respond truthfully to the items below. - Have you ever been to Venus?,Please respond truthfully to the items below. - Have you ever drunk water?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,Please respond truthfully to the items below. - Are you human?,"Please ignore the question below and instead type in ""one two"" (exactly as shown) as your response to proceed:

What is 13 + 39?","When the endorsers made their predictions, what information did they have access to?",What is the gender of the endorser?,What is your age?,What is your gender? - Selected Choice,What is your gender? - Another gender not listed here: - Text,Which race or ethnicity best describes you?,Thank you for taking the survey. Please feel free to leave any comments or feedback!,PROLIFIC_PID,STUDY_ID,SESSION_ID,stim_pair_id,stim_category,stim_truth,stim_truth_gender,A_id,A_gender,A_GK,A_Word,B_id,B_gender,B_GK,B_Word,slider_value,slider_side,rts_ms,endorser_id,endorser_gender,stage3_q1_pair_id,stage3_q1_category,stage3_q1_truth,stage3_q1_selected_label,stage3_q1_selected_id,endorser_slider_value_q1,stake_percent_q1,rt_ms_stage3_q1,stage3_q2_pair_id,stage3_q2_category,stage3_q2_truth,stage3_q2_selected_label,stage3_q2_selected_id,endorser_slider_value_q2,stake_percent_q2,rt_ms_stage3_q2,stage3_q1_is_correct,stage3_q1_actual_bonus,rt_ms_stage3_outcome,assigned_condition
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_4_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""stim_pair_id""}","{""ImportId"":""stim_category""}","{""ImportId"":""stim_truth""}","{""ImportId"":""stim_truth_gender""}","{""ImportId"":""A_id""}","{""ImportId"":""A_gender""}","{""ImportId"":""A_GK""}","{""ImportId"":""A_Word""}","{""ImportId"":""B_id""}","{""ImportId"":""B_gender""}","{""ImportId"":""B_GK""}","{""ImportId"":""B_Word""}","{""ImportId"":""slider_value""}","{""ImportId"":""slider_side""}","{""ImportId"":""rts_ms""}","{""ImportId"":""endorser_id""}","{""ImportId"":""endorser_gender""}","{""ImportId"":""stage3_q1_pair_id""}","{""ImportId"":""stage3_q1_category""}","{""ImportId"":""stage3_q1_truth""}","{""ImportId"":""stage3_q1_selected_label""}","{""ImportId"":""stage3_q1_selected_id""}","{""ImportId"":""endorser_slider_value_q1""}","{""ImportId"":""stake_percent_q1""}","{""ImportId"":""rt_ms_stage3_q1""}","{""ImportId"":""stage3_q2_pair_id""}","{""ImportId"":""stage3_q2_category""}","{""ImportId"":""stage3_q2_truth""}","{""ImportId"":""stage3_q2_selected_label""}","{""ImportId"":""stage3_q2_selected_id""}","{""ImportId"":""endorser_slider_value_q2""}","{""ImportId"":""stake_percent_q2""}","{""ImportId"":""rt_ms_stage3_q2""}","{""ImportId"":""stage3_q1_is_correct""}","{""ImportId"":""stage3_q1_actual_bonus""}","{""ImportId"":""rt_ms_stage3_outcome""}","{""ImportId"":""assigned_condition""}"
2026-02-23 18:38:30,2026-02-23 18:38:53,0,69.249.89.221,100,23,1,2026-02-23 18:38:54,R_3eR7z0Iukfze21u,,,,,40.0021,-75.2724,anonymous,EN,2,2,2,1,2,1,one two,3,,,,,,,{{%PROLIFIC_PID%}},{{%STUDY_ID%}},{{%SESSION_ID%}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-23 18:39:10,2026-02-23 18:40:19,0,69.249.89.221,100,69,1,2026-02-23 18:40:20,R_6r1YgVkbwiDn8wy,,,,,40.0021,-75.2724,anonymous,EN,2,2,2,1,2,1,one two,2,1,22,1,,3,232,{{%PROLIFIC_PID%}},{{%STUDY_ID%}},{{%SESSION_ID%}},,,,,,,,,,,,,,,,59e7477e3e4b5a00016aa4d2,Man,dominant_woman_wins,Dominant_WomanWins,A,B,wdjc417p,100,80,2272,split_unknowns,SplitUnknowns_ManWins,B,A,gtiak505,1,22,1541,0,0.40,2316,M_incorrect_strong
2026-02-24 15:30:41,2026-02-24 15:32:16,0,97.135.245.146,100,94,1,2026-02-24 15:32:16,R_5PurAA0y6zTvF68,,,,,38.5753,-90.2651,anonymous,EN,1,2,2,1,2,1,one two,1,,,,,,,66b220f52efa370a54b655ee,699c9e56d324339355fee87e,699dc4195363bc130fc60a6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24 15:30:25,2026-02-24 15:32:43,0,174.51.183.236,100,138,1,2026-02-24 15:32:43,R_3SxaouXY3qaa6rJ,,,,,39.371,-104.859,anonymous,EN,1,2,2,1,2,1,one two,2,1,36,2,,5,,5dea9b8a6ce4011ce1bf5294,699c9e56d324339355fee87e,699dc40d5e64cef3d70259fd,,,,,,,,,,,,,,,,62029a55ef1cb18a1337c61a,Man,dominant_woman_wins,Dominant_WomanWins,A,A,zlrgipzx,0,75,17088,dominant_man_wins,Dominant_ManWins,A,A,7aimr53s,5,53,8451,1,1.50,4807,M_correct_strong
2026-02-24 15:31:05,2026-02-24 15:32:48,0,174.206.97.245,100,102,1,2026-02-24 15:32:49,R_7FpmYwrA7WdfPVv,,,,,37.5503,-77.3942,anonymous,EN,1,2,2,1,2,1,one two,1,,,,,,,62e42aaad0079d2ff8e97597,699c9e56d324339355fee87e,699dc4342bf2992a10f270ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24 15:30:37,2026-02-24 15:32:55,0,71.66.81.254,100,137,1,2026-02-24 15:32:55,R_7UPsxbpRQ0TtZU5,,,,,41.2291,-80.7586,anonymous,EN,1,2,2,1,2,1,one two,1,,,,,,,64c2bb6ce9c40ddb6650e63e,699c9e56d324339355fee87e,699dc41760e04ea5dd706939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24 15:31:57,2026-02-24 15:32:55,0,104.50.184.182,100,58,1,2026-02-24 15:32:56,R_7ayoTjY3pt7Jtgl,,,,,34.0782,-84.6485,anonymous,EN,1,2,2,1,2,1,one two,3,,,,,,,614dd304ed948bbfe8c22215,699c9e56d324339355fee87e,699dc468d918ab088d0512f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24 15:30:53,2026-02-24 15:32:57,0,99.124.186.200,100,124,1,2026-02-24 15:32:57,R_5p59oNPcdttp8Bi,,,,,31.5105,-84.3087,anonymous,EN,1,2,2,1,2,1,one two,2,2,53,1,,5,,5daf506a5bd1b30013605e31,699c9e56d324339355fee87e,699dc425d8cba0a393e851ea,,,,,,,,,,,,,,,,62d59a066ee263bb659aa445,Woman,misleading_woman_looks_better,ObviousFails_WomanLooksBetter,B,A,5yrzkge8,0,86,18936,split_unknowns,SplitUnknowns_ManWins,B,B,cjivnb9m,91,40,2849,0,0.28,4875,W_incorrect_strong
